year,month,val
1850,1,-0.702
1850,2,-0.281
1850,3,-0.732
1850,4,-0.569
1850,5,-0.326
1850,6,-0.212
1850,7,-0.128
1850,8,-0.232
1850,9,-0.435
1850,10,-0.452
1850,11,-0.189
1850,12,-0.267
1851,1,-0.299
1851,2,-0.358
1851,3,-0.482
1851,4,-0.444
1851,5,-0.3
1851,6,-0.188
1851,7,-0.213
1851,8,-0.152
1851,9,-0.105
1851,10,-0.06
1851,11,-0.027
1851,12,-0.064
1852,1,-0.307
1852,2,-0.476
1852,3,-0.505
1852,4,-0.558
1852,5,-0.207
1852,6,-0.037
1852,7,-0.015
1852,8,-0.194
1852,9,-0.124
1852,10,-0.216
1852,11,-0.186
1852,12,0.085
1853,1,-0.174
1853,2,-0.326
1853,3,-0.313
1853,4,-0.352
1853,5,-0.267
1853,6,-0.176
1853,7,-0.057
1853,8,-0.146
1853,9,-0.405
1853,10,-0.36
1853,11,-0.257
1853,12,-0.444
1854,1,-0.373
1854,2,-0.288
1854,3,-0.291
1854,4,-0.348
1854,5,-0.233
1854,6,-0.216
1854,7,-0.231
1854,8,-0.169
1854,9,-0.121
1854,10,-0.191
1854,11,-0.372
1854,12,-0.235
1855,1,-0.176
1855,2,-0.4
1855,3,-0.303
1855,4,-0.221
1855,5,-0.337
1855,6,-0.163
1855,7,-0.269
1855,8,-0.162
1855,9,-0.343
1855,10,-0.211
1855,11,-0.217
1855,12,-0.513
1856,1,-0.107
1856,2,-0.369
1856,3,-0.508
1856,4,-0.378
1856,5,-0.119
1856,6,-0.289
1856,7,-0.298
1856,8,-0.305
1856,9,-0.457
1856,10,-0.392
1856,11,-0.608
1856,12,-0.445
1857,1,-0.506
1857,2,-0.36
1857,3,-0.43
1857,4,-0.636
1857,5,-0.565
1857,6,-0.311
1857,7,-0.538
1857,8,-0.326
1857,9,-0.394
1857,10,-0.464
1857,11,-0.666
1857,12,-0.367
1858,1,-0.531
1858,2,-0.709
1858,3,-0.553
1858,4,-0.516
1858,5,-0.655
1858,6,-0.579
1858,7,-0.323
1858,8,-0.281
1858,9,-0.339
1858,10,-0.204
1858,11,-0.645
1858,12,-0.304
1859,1,-0.311
1859,2,-0.195
1859,3,-0.336
1859,4,-0.2
1859,5,-0.312
1859,6,-0.249
1859,7,-0.283
1859,8,-0.099
1859,9,-0.574
1859,10,-0.256
1859,11,-0.324
1859,12,-0.358
1860,1,-0.195
1860,2,-0.431
1860,3,-0.649
1860,4,-0.345
1860,5,-0.3
1860,6,-0.308
1860,7,-0.115
1860,8,-0.193
1860,9,-0.224
1860,10,-0.197
1860,11,-0.508
1860,12,-0.753
1861,1,-0.9
1861,2,-0.526
1861,3,-0.468
1861,4,-0.4
1861,5,-0.768
1861,6,-0.187
1861,7,-0.212
1861,8,-0.099
1861,9,-0.335
1861,10,-0.357
1861,11,-0.426
1861,12,-0.268
1862,1,-0.753
1862,2,-0.785
1862,3,-0.404
1862,4,-0.247
1862,5,-0.233
1862,6,-0.341
1862,7,-0.34
1862,8,-0.699
1862,9,-0.418
1862,10,-0.426
1862,11,-0.765
1862,12,-0.894
1863,1,0.128
1863,2,-0.029
1863,3,-0.367
1863,4,-0.241
1863,5,-0.322
1863,6,-0.403
1863,7,-0.422
1863,8,-0.316
1863,9,-0.324
1863,10,-0.385
1863,11,-0.333
1863,12,-0.348
1864,1,-0.938
1864,2,-0.636
1864,3,-0.502
1864,4,-0.551
1864,5,-0.454
1864,6,-0.165
1864,7,-0.15
1864,8,-0.309
1864,9,-0.448
1864,10,-0.705
1864,11,-0.472
1864,12,-0.615
1865,1,-0.099
1865,2,-0.611
1865,3,-0.643
1865,4,-0.229
1865,5,-0.264
1865,6,-0.279
1865,7,-0.13
1865,8,-0.208
1865,9,-0.079
1865,10,-0.265
1865,11,-0.194
1865,12,-0.342
1866,1,0.037
1866,2,-0.215
1866,3,-0.593
1866,4,-0.264
1866,5,-0.532
1866,6,0.103
1866,7,0.028
1866,8,-0.269
1866,9,-0.235
1866,10,-0.425
1866,11,-0.312
1866,12,-0.34
1867,1,-0.32
1867,2,0.009
1867,3,-0.717
1867,4,-0.258
1867,5,-0.546
1867,6,-0.294
1867,7,-0.239
1867,8,-0.232
1867,9,-0.101
1867,10,-0.185
1867,11,-0.313
1867,12,-0.637
1868,1,-0.703
1868,2,-0.466
1868,3,-0.076
1868,4,-0.378
1868,5,-0.073
1868,6,-0.18
1868,7,0.147
1868,8,-0.034
1868,9,-0.199
1868,10,-0.236
1868,11,-0.504
1868,12,-0.124
1869,1,-0.266
1869,2,0.268
1869,3,-0.589
1869,4,-0.23
1869,5,-0.279
1869,6,-0.375
1869,7,-0.294
1869,8,-0.078
1869,9,-0.193
1869,10,-0.428
1869,11,-0.381
1869,12,-0.359
1870,1,-0.083
1870,2,-0.453
1870,3,-0.405
1870,4,-0.212
1870,5,-0.167
1870,6,-0.215
1870,7,0.015
1870,8,-0.261
1870,9,-0.265
1870,10,-0.401
1870,11,-0.169
1870,12,-0.725
1871,1,-0.532
1871,2,-0.547
1871,3,0.014
1871,4,-0.145
1871,5,-0.314
1871,6,-0.222
1871,7,-0.012
1871,8,-0.221
1871,9,-0.456
1871,10,-0.482
1871,11,-0.538
1871,12,-0.563
1872,1,-0.308
1872,2,-0.403
1872,3,-0.475
1872,4,-0.154
1872,5,-0.045
1872,6,-0.211
1872,7,-0.117
1872,8,-0.027
1872,9,-0.131
1872,10,-0.228
1872,11,-0.249
1872,12,-0.43
1873,1,-0.017
1873,2,-0.344
1873,3,-0.276
1873,4,-0.523
1873,5,-0.413
1873,6,-0.259
1873,7,-0.152
1873,8,-0.163
1873,9,-0.359
1873,10,-0.405
1873,11,-0.467
1873,12,-0.276
1874,1,0.056
1874,2,-0.44
1874,3,-0.564
1874,4,-0.513
1874,5,-0.471
1874,6,-0.462
1874,7,-0.177
1874,8,-0.371
1874,9,-0.214
1874,10,-0.435
1874,11,-0.506
1874,12,-0.408
1875,1,-0.578
1875,2,-0.614
1875,3,-0.599
1875,4,-0.467
1875,5,-0.176
1875,6,-0.236
1875,7,-0.305
1875,8,-0.18
1875,9,-0.272
1875,10,-0.369
1875,11,-0.499
1875,12,-0.497
1876,1,-0.312
1876,2,-0.269
1876,3,-0.385
1876,4,-0.299
1876,5,-0.532
1876,6,-0.284
1876,7,-0.135
1876,8,-0.244
1876,9,-0.436
