year,month,val
1978,1,-99.9
1978,2,-99.9
1978,3,-99.9
1978,4,-99.9
1978,5,-99.9
1978,6,-99.9
1978,7,-99.9
1978,8,-99.9
1978,9,-99.9
1978,10,-99.9
1978,11,-99.9
1978,12,-99.9
1979,1,-0.2233
1979,2,-0.1217
1979,3,-0.1353
1979,4,-0.2611
1979,5,-0.2221
1979,6,-0.1957
1979,7,-0.0415
1979,8,-0.1563
1979,9,-0.0056
1979,10,0.1335
1979,11,0.0366
1979,12,0.0594
1980,1,0.0098
1980,2,0.0868
1980,3,-0.0401
1980,4,0.0375
1980,5,0.0937
1980,6,0.1364
1980,7,-0.0098
1980,8,0.0184
1980,9,0.0496
1980,10,0.0467
1980,11,-0.1661
1980,12,-0.0823
1981,1,0.1976
1981,2,0.2019
1981,3,-0.0289
1981,4,0.078
1981,5,0.0076
1981,6,-0.0606
1981,7,-0.031
1981,8,-0.0001
1981,9,-0.088
1981,10,-0.1019
1981,11,0.0015
1981,12,0.0846
1982,1,-0.1411
1982,2,-0.0989
1982,3,-0.1662
1982,4,-0.1153
1982,5,-0.2276
1982,6,-0.1672
1982,7,-0.3176
1982,8,-0.2255
1982,9,-0.1221
1982,10,-0.2571
1982,11,-0.1781
1982,12,-0.0529
1983,1,0.1857
1983,2,0.0432
1983,3,0.2717
1983,4,0.1521
1983,5,0.1107
1983,6,-0.094
1983,7,0.153
1983,8,0.1053
1983,9,0.0209
1983,10,-0.0255
1983,11,0.0797
1983,12,-0.2163
1984,1,-0.2661
1984,2,-0.1389
1984,3,-0.1534
1984,4,-0.2246
1984,5,-0.0931
1984,6,-0.2059
1984,7,-0.1973
1984,8,-0.1663
1984,9,-0.4565
1984,10,-0.1462
1984,11,-0.2733
1984,12,-0.37
1985,1,-0.2522
1985,2,-0.2749
1985,3,-0.2777
1985,4,-0.3194
1985,5,-0.3279
1985,6,-0.3336
1985,7,-0.3571
1985,8,-0.1979
1985,9,-0.1952
1985,10,-0.2893
1985,11,-0.1496
1985,12,-0.1517
1986,1,-0.032
1986,2,-0.2383
1986,3,-0.1623
1986,4,-0.0544
1986,5,-0.0952
1986,6,-0.1568
1986,7,-0.2012
1986,8,-0.1797
1986,9,-0.1838
1986,10,-0.2472
1986,11,-0.1008
1986,12,-0.0218
1987,1,0.1318
1987,2,0.1472
1987,3,-0.1356
1987,4,0.1375
1987,5,-0.0139
1987,6,0.1212
1987,7,0.0634
1987,8,0.0308
1987,9,0.0222
1987,10,0.1506
1987,11,0.1807
1987,12,0.3508
1988,1,0.2237
1988,2,-0.0349
1988,3,0.1966
1988,4,0.085
1988,5,0.1098
1988,6,0.0843
1988,7,0.183
1988,8,0.0375
1988,9,0.2281
1988,10,-0.053
1988,11,-0.1032
1988,12,-0.1594
1989,1,-0.2957
1989,2,-0.1945
1989,3,-0.2662
1989,4,-0.1323
1989,5,-0.1434
1989,6,-0.152
1989,7,-0.0677
1989,8,-0.0996
1989,9,0.0205
1989,10,-0.0356
1989,11,-0.0639
1989,12,-0.0039
1990,1,-0.0835
1990,2,-0.1268
1990,3,0.2147
1990,4,0.0412
1990,5,0.08
1990,6,0.1324
1990,7,-0.0075
1990,8,0.014
1990,9,-0.029
1990,10,0.123
1990,11,0.3345
1990,12,0.1958
1991,1,0.1168
1991,2,0.0689
1991,3,0.2837
1991,4,0.0644
1991,5,0.1636
1991,6,0.2963
1991,7,0.1472
1991,8,0.1616
1991,9,0.018
1991,10,-0.0511
1991,11,-0.1109
1991,12,-0.1896
1992,1,-0.009
1992,2,-0.1213
1992,3,-0.0038
1992,4,-0.1621
1992,5,-0.1716
1992,6,-0.1727
1992,7,-0.3191
1992,8,-0.3716
1992,9,-0.3103
1992,10,-0.1561
1992,11,-0.1473
1992,12,-0.2062
1993,1,-0.2149
1993,2,-0.1622
1993,3,-0.2853
1993,4,-0.2034
1993,5,-0.0969
1993,6,-0.0246
1993,7,-0.0086
1993,8,-0.1401
1993,9,-0.2722
1993,10,-0.0356
1993,11,-0.0845
1993,12,0.1155
1994,1,0.0084
1994,2,-0.0668
1994,3,-0.0328
1994,4,-0.0827
1994,5,-0.0008
1994,6,0.0687
1994,7,0.0813
1994,8,0.0637
1994,9,0.114
1994,10,-0.065
1994,11,0.1284
1994,12,0.1216
1995,1,0.178
1995,2,0.133
1995,3,0.0369
1995,4,0.2477
1995,5,0.1308
1995,6,0.1635
1995,7,0.0439
1995,8,0.2853
1995,9,0.3241
1995,10,0.2045
1995,11,0.209
1995,12,-0.0532
1996,1,-0.0407
1996,2,0.1092
1996,3,0.1017
1996,4,-0.0823
1996,5,0.0048
1996,6,-0.0237
1996,7,0.1163
1996,8,0.0473
1996,9,0.1816
1996,10,0.1252
1996,11,0.0538
1996,12,-0.0337
1997,1,-0.043
1997,2,0.0529
1997,3,-0.0028
1997,4,-0.0632
1997,5,0.0242
1997,6,0.0169
1997,7,0.1652
1997,8,0.2015
1997,9,0.1899
1997,10,0.2196
1997,11,0.1583
1997,12,0.3024
1998,1,0.5498
1998,2,0.736
1998,3,0.5852
1998,4,0.8573
1998,5,0.6672
1998,6,0.5672
1998,7,0.6052
1998,8,0.5719
1998,9,0.4938
