Sofia (Observ (42.65N, 23.38E) 608156140000           GHCN V3 adj - homogenized

YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1951    0.62    2.72    6.42   11.02   15.62   18.22   19.82   20.62   16.22    7.72    6.32   -0.14    1.88   11.02   19.55   10.09   10.63
1952    0.86    0.46    3.36   12.16   12.76   18.46   20.96   22.66   18.36    9.86    5.46    3.30    0.39    9.43   20.69   11.23   10.44
1953    0.10    0.80    2.70   10.00   13.40   18.90   20.50   18.80   15.80    9.70    2.40   -2.56    1.40    8.70   19.40    9.30    9.70
1954  999.90   -7.66    4.14    7.94   14.14   20.14   20.84   20.94   18.34   11.84    4.24    0.88   -5.67    8.74   20.64   11.47    8.80
1955    1.58    4.78    5.18    6.58   15.38   18.48   20.08   18.58   16.28   12.98    3.98    1.92    2.41    9.05   19.05   11.08   10.40
1956   -1.58   -4.88    0.02   11.12   14.32   17.42   19.32   21.92   17.12   11.02    3.12   -0.55   -1.51    8.49   19.55   10.42    9.24
1957   -2.45    3.95    5.75    9.85   13.05   19.45   21.15   20.75   16.85   11.85    5.65   -1.11    0.32    9.55   20.45   11.45   10.44
1958  999.90  999.90    1.29    7.69   17.29  999.90   21.09  999.90  999.90  999.90    5.79  999.90  999.90    8.76  999.90  999.90  999.90
1959   -2.87   -2.27    5.63    9.63   14.13   16.73   20.13   19.33   13.13  999.90    4.93    3.32   -2.36    9.80   18.73    9.06    8.80
1960   -0.58    1.52    3.82    8.92   13.82   17.42   18.72   20.12   13.92   13.42    7.92    4.20    1.42    8.85   18.75   11.75   10.20
1961   -2.60   -0.20    6.20   12.60   13.00   17.70   19.50   20.10   16.60   11.30    8.00   -0.71    0.47   10.60   19.10   11.97   10.53
1962   -0.51   -1.71    3.09   10.09   16.09   16.99   20.59   22.09   17.19   10.89    7.89   -3.32   -0.98    9.76   19.89   11.99   10.17
1963   -5.82   -0.12    2.78    9.38   14.18   18.28   19.98   21.68   17.48   10.48    7.78    0.17   -3.09    8.78   19.98   11.91    9.40
1964   -3.93   -0.73    3.97   10.57   12.77   19.17   19.07   18.67   14.47   12.37    6.37    1.55   -1.50    9.10   18.97   11.07    9.41
1965   -0.35   -4.45    4.25    7.75   13.65   18.15   20.75   17.95   17.95   10.05    5.85    2.34   -1.08    8.55   18.95   11.28    9.43
1966   -3.06    6.14    4.04   11.24   14.14   17.04   19.64   20.34   16.04   14.54    6.44   -0.07    1.81    9.81   19.01   12.34   10.74
