year,month,val
1978,1,-999
1978,2,-999
1978,3,-999
1978,4,-999
1978,5,-999
1978,6,-999
1978,7,-999
1978,8,-999
1978,9,-999
1978,10,-999
1978,11,-999
1978,12,-0.36
1979,1,-0.332
1979,2,-0.273
1979,3,-0.256
1979,4,-0.283
1979,5,-0.271
1979,6,-0.262
1979,7,-0.181
1979,8,-0.275
1979,9,-0.157
1979,10,-0.011
1979,11,-0.129
1979,12,-0.084
1980,1,-0.083
1980,2,0.061
1980,3,-0.03
1980,4,0.031
1980,5,0.065
1980,6,0.085
1980,7,-0.036
1980,8,-0.027
1980,9,-0.011
1980,10,-0.16
1980,11,-0.14
1980,12,-0.252
1981,1,-0.085
1981,2,0.01
1981,3,-0.131
1981,4,-0.127
1981,5,-0.137
1981,6,-0.18
1981,7,-0.08
1981,8,-0.08
1981,9,-0.162
1981,10,-0.194
1981,11,-0.146
1981,12,-0.021
1982,1,-0.226
1982,2,-0.247
1982,3,-0.323
1982,4,-0.32
1982,5,-0.314
1982,6,-0.247
1982,7,-0.411
1982,8,-0.334
1982,9,-0.299
1982,10,-0.394
1982,11,-0.272
1982,12,-0.165
1983,1,0.011
1983,2,-0.165
1983,3,0.146
1983,4,0.08
1983,5,0.09
1983,6,-0.184
1983,7,0
1983,8,0.026
1983,9,-0.009
1983,10,-0.099
1983,11,-0.083
1983,12,-0.308
1984,1,-0.363
1984,2,-0.228
1984,3,-0.144
1984,4,-0.248
1984,5,-0.112
1984,6,-0.213
1984,7,-0.288
1984,8,-0.211
1984,9,-0.505
1984,10,-0.073
1984,11,-0.207
1984,12,-0.259
1985,1,-0.297
1985,2,-0.475
1985,3,-0.46
1985,4,-0.313
1985,5,-0.321
1985,6,-0.347
1985,7,-0.511
1985,8,-0.263
1985,9,-0.373
1985,10,-0.429
1985,11,-0.284
1985,12,-0.26
1986,1,-0.151
1986,2,-0.37
1986,3,-0.276
1986,4,-0.16
1986,5,-0.129
1986,6,-0.183
1986,7,-0.243
1986,8,-0.249
1986,9,-0.303
1986,10,-0.304
1986,11,-0.15
1986,12,-0.109
1987,1,0.087
1987,2,0.076
1987,3,-0.205
1987,4,0.078
1987,5,-0.082
1987,6,0.173
1987,7,0.051
1987,8,-0.051
1987,9,-0.072
1987,10,0.085
1987,11,0.082
1987,12,0.371
1988,1,0.146
1988,2,-0.055
1988,3,0.157
1988,4,0.027
1988,5,0.087
1988,6,0.084
1988,7,0.156
1988,8,0.061
1988,9,0.204
1988,10,-0.056
1988,11,-0.133
1988,12,-0.211
1989,1,-0.4
1989,2,-0.271
1989,3,-0.314
1989,4,-0.2
1989,5,-0.309
1989,6,-0.274
1989,7,-0.182
1989,8,-0.175
1989,9,-0.039
1989,10,-0.123
1989,11,-0.168
1989,12,-0.055
1990,1,-0.097
1990,2,-0.203
1990,3,0.06
1990,4,-0.081
1990,5,0.085
1990,6,0.103
1990,7,0.021
1990,8,-0.048
1990,9,-0.113
1990,10,0.021
1990,11,0.252
1990,12,0.157
1991,1,0.025
1991,2,0.08
1991,3,0.234
1991,4,-0.007
1991,5,0.118
1991,6,0.315
1991,7,0.14
1991,8,0.152
1991,9,-0.052
1991,10,-0.209
1991,11,-0.269
1991,12,-0.277
1992,1,-0.194
1992,2,-0.233
1992,3,-0.143
1992,4,-0.27
1992,5,-0.234
1992,6,-0.208
1992,7,-0.37
1992,8,-0.451
1992,9,-0.427
1992,10,-0.238
1992,11,-0.268
1992,12,-0.329
1993,1,-0.349
1993,2,-0.279
1993,3,-0.431
1993,4,-0.342
1993,5,-0.203
1993,6,-0.075
1993,7,-0.055
1993,8,-0.185
1993,9,-0.33
1993,10,-0.107
1993,11,-0.122
1993,12,0.052
1994,1,-0.113
1994,2,-0.196
1994,3,-0.191
1994,4,-0.154
1994,5,-0.095
1994,6,0.074
1994,7,0.038
1994,8,-0.059
1994,9,0.018
1994,10,-0.223
1994,11,0.054
1994,12,0.08
1995,1,0.047
1995,2,-0.018
1995,3,-0.065
1995,4,0.14
1995,5,0.051
1995,6,0.135
1995,7,0.067
1995,8,0.277
1995,9,0.221
1995,10,0.085
1995,11,0.082
1995,12,-0.181
1996,1,-0.152
1996,2,0.008
1996,3,0.046
1996,4,-0.084
1996,5,-0.103
1996,6,-0.069
1996,7,0.027
1996,8,0.079
1996,9,0.145
1996,10,0.05
1996,11,0.027
1996,12,-0.082
1997,1,-0.155
1997,2,-0.084
1997,3,-0.133
1997,4,-0.263
1997,5,-0.098
1997,6,-0.028
1997,7,0.089
1997,8,0.087
1997,9,0.057
1997,10,0.101
1997,11,0.091
1997,12,0.25
1998,1,0.479
1998,2,0.653
1998,3,0.475
1998,4,0.743
1998,5,0.643
1998,6,0.575
1998,7,0.511
1998,8,0.517
1998,9,0.441
1998,10,0.403
1998,11,0.123
1998,12,0.246
1999,1,0.06
1999,2,0.166
1999,3,-0.081
1999,4,0.009
1999,5,-0.037
1999,6,-0.154
1999,7,-0.022
1999,8,-0.072
1999,9,0.051
1999,10,-0.013
1999,11,-0.065
1999,12,-0.042
2000,1,-0.272
2000,2,-0.067
2000,3,-0.011
2000,4,0.054
2000,5,0.088
2000,6,0.069
2000,7,-0.048
